team, points, possessions, metres, carries, carry_metres, kicks, kick_metres, linebreaks, tries, conversions, conversions_missed, penalty_kicks, drop_goals, penalty_tries, turnovers_won, lineouts_won, lineouts_lost, scrums_won, scrums_lost, penalties_won, penalties_conceded, errors, sin_bins, red_cards
HOME,      0,           6,  138.5,       7,         95.7,     4,        42.8,          0,     0,           0,                  0,             0,          0,             0,             0,            0,             1,          0,           0,             2,                  0,      0,        0,         0
AWAY,      5,           6,  133.7,       5,         76.9,     2,        56.8,          0,     1,           0,                  0,             0,          0,             0,             0,            1,             0,          0,           0,             0,                  2,      0,        0,         0
